0    791.276 
1    791.276 
2    791.276 
3    791.276 
4    791.276 
5    791.276 
6    791.276 
7    791.276 
8    791.276 
9    791.276 
10    791.276 
11    791.276 
12    791.276 
13    791.276 
14    791.276 
0   1078.154 
1   1078.154 
2   1078.154 
0    953.239 
1    953.239 
2    953.239 
3    953.239 
4    953.239 
5    953.239 
6    953.239 
7    953.239 
8    953.239 
9    953.239 
10    953.239 
11    953.239 
12    953.239 
13    953.239 
14    953.239 
15    953.239 
16    953.239 
17    953.239 
18    953.239 
19    953.239 
20    953.239 
21    953.239 
22    953.239 
23    953.239 
24    953.239 
25    953.239 
26    953.239 
27    953.239 
28    953.239 
29    953.239 
30    953.239 
31    953.239 
32    953.239 
33    953.239 
34    953.239 
35    953.239 
36    953.239 
37    953.239 
38    953.239 
39    953.239 
40    953.239 
41    953.239 
42    953.239 
43    953.239 
44    953.239 
45    953.239 
46    953.239 
47    953.239 
48    953.239 
49    953.239 
50    953.239 
51    953.239 
52    953.239 
53    953.239 
54    953.239 
55    953.239 
56    953.239 
57    953.239 
58    953.239 
59    953.239 
60    953.239 
61    953.239 
62    953.239 
63    953.239 
64    953.239 
65    953.239 
66    953.239 
67    953.239 
68    953.239 
69    953.239 
70    953.239 
71    953.239 
72    953.239 
73    953.239 
74    953.239 
75    953.239 
76    953.239 
77    953.239 
78    953.239 
79    953.239 
80    953.239 
81    953.239 
82    953.239 
83    953.239 
84    953.239 
85    953.239 
86    953.239 
87    953.239 
88    953.239 
89    953.239 
90    953.239 
91    953.239 
92    953.239 
93    953.239 
94    953.239 
95    953.239 
96    953.239 
97    953.239 
98    953.239 
99    953.239 
